V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1115	0	76	0	100	3500	240	0	0	0.0217142857142857	26.9533414607115	0.00119943495785576	0.0637745380674321	0	0.0419802235249516	2.23210883236013	2	98	1
SPNCRNA.1116	0	74	72	100	2441	300	0	0	0.0303154444899631	37.6297216322273	0.00123194994651341	0.0655194206443666	0	0.0300718981943923	1.59932905792899	2	98	1
SPNCRNA.1117	1	0	7	100	539	300	0.01	12.4127230411171	0	0	0.0577765545925511	8.27870929775896	NA	0.311415629253851	44.6222431149208	0	101	1
SPNCRNA.1118	2	36	12	100	1805	300	0.02	24.8254460822343	0.0199445983379501	24.75667753353	0.00925365154988372	0.235628337171256	1.00277777777778	0.167028410475401	4.25309148594117	1	101	1
SPNCRNA.1119	0	12	6	100	840	300	0	0	0.0142857142857143	17.7324614873102	0.00771806013949717	0.431135285113533	0	0.0648317051717762	3.62153639495368	1	99	1
SPNCRNA.112	4	16	22	100	260	300	0.04	49.6508921644686	0.0615384615384615	76.3859879453363	0.0707856001160781	0.794321405375439	0.65	0.184042560301803	2.06523565397614	6	98	1
SPNCRNA.1120	0	2	0	100	1134	300	0	0	0.0017636684303351	2.18919277621114	0.0514242900386907	4.05388820080272	0	0.583151449038753	45.9710921971029	0	100	1
SPNCRNA.1121	0	1	0	100	2053	300	0	0	0.000487092060399416	0.604613884126505	0.120791776113059	17.3080587281839	0	2.4798551636011	355.334445689616	0	100	1
SPNCRNA.1122	0	0	0	100	481	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1123	0	0	0	100	309	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1124	1	7	35	100	774	300	0.01	12.4127230411171	0.00904392764857881	11.2259769105711	0.00660323359662749	1.14229470290644	1.10571428571429	0.0511090280378968	8.84136100049581	0	101	1
SPNCRNA.1125	2	8	9	100	427	300	0.02	24.8254460822343	0.0187353629976581	23.2556871964724	0.0367281083767776	1.26151517249186	1.0675	0.15682902276884	5.38666978654023	1	101	1
SPNCRNA.1126	0	5	3	100	3108	300	0	0	0.00160875160875161	1.99689881613854	0.0190383591688732	1.16008855872718	0	0.591712202968579	36.0555524052408	0	100	1
SPNCRNA.1127	2	28	20	100	413	300	0.02	24.8254460822343	0.0677966101694915	84.1540545160484	0.0117687294574852	0.307314068338505	0.295	0.048604852659414	1.26920710223803	6	96	1
